Name;Region;Address;Proposal
Sergi1912;AR;RXcokUvoJ7DCfXopCZqxDt7wNhv8AVRN1j;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/Sergi1912
Sergi1912;NA;RKGsxamvLHoSHCVi1KzaesZq6XENDoma2m;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/Sergi1912
Sergi1912;SH;RB9KccHNa7TGAW5Tw9USF7Y84H3cCba2zu;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/Sergi1912
Sergi1912;EU;RBiAKbeTpt5xap2SXPRvW8nmthXEP3aBue;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/Sergi1912
a-team;SH;RQiTPCmRwUby2fcL3VHBA2sgSJeNf8NpsJ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/a-team
adrianpante;NA;RGUQSA2JYAh1ahnvK8nhYo1kctonGnLNFH;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/adrianpante
adrianpante;EU;RLsMGAgZyGM9ZsWrC4tjrQWimiKXz12ipa;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/adrianpante
adrianpante;SH;RV3dKqePL5ivH6aPsg5GuphgQDAYQ1n94a;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/adrianpante
adrianpante;AR;RRMJ91UWWZwAoMrMpuQYQwgumDQzCzbkak;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/adrianpante
alice;EU;RTswrvC4oiJRMXCCdNn7e5yjw3UxjZHA9L;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/alice
alice;NA;RAfU3kVn21ZdZRt3KFMd6aDA8RX6oUNtRU;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/alice
alice;SH;RRQj7troQK99bwG1vBHFaFK1zytbrxqjAs;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/alice
alice;AR;RKA3taWFr6PXi3bD9VyhK2iqvfmTTivo34;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/alice
batman;EU;RAMPJSfQN1HrcS4nuu8nxdzS81d9jXJc5m;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/batman
